Field;ID;Type (Typ);default;en-us;de-de;en;en-gb;ca;cs-cz;de;el;es;es-ar;es-es;es-mx;fi-fi;fr;fr-fr;gl;hu-hu;is;it;it-it;lv;nb-no;nl;pl;pt-br;sq;sv;tr;zh-cn
Description;2;Text;"This is the Nextcloud app allowing you to access all your files on Windows Mobile (...and UWP coming soon).

This app is available as an unlimited test version, but anyone who wants to support the project can do so with a donation of 99 cents.

Features already implemented: 
• Easy, modern interface 
• Upload your files to your Nextcloud server 
• Download files from your Nextcloud server
• Move files and folders
• Rename files and folders
• Manual synchronization of folders
• Download directories as ZIP file
• Select multiple files and folders
• Items can be marked as favorite from within the app
• The size of folders is shown in the directory list
• Status bar in directory list showing the number of selected/total files
• Sorting for data type
• New views for favorites/shares
• Pin files and folders to start screen
• Use Windows Hello to authenticate on app start
• Expert mode showing advanced information in the app
• Allow self signed SSL certificates?
• Share files with the app
• Theming (dark/light/system)
• Use the PasswordVault to store user credentials

Feature plans for next releases: 
• Share your files and folders with others 
• Managing shares 
• Synchronize selected directories in the background 
• Instant Upload for photos and videos taken by your device 
• Managing more than one user account / Nextcloud server (Multi-account support)

Issues

Please report all issues at https://github.com/nextcloud/windows-universal/issues

New to Nextcloud?

Nextcloud is a private file sync & share and communication server.

It is fully open source and you can host it yourself or pay a company to do it for you.

That way, you are in control of your photos, your calendar and contact data, your documents and everything else.

Check out Nextcloud at https://nextcloud.com";;"Dies ist die Nextcloud App, mit der Sie auf alle Ihre Dateien auf Windows Mobile (... und in Kürze auch UWP) zugreifen können.

Diese App ist als uneingeschränkt Testversion verfügbar, wer aber das Projekt unterstützen möchte, kann dies mit einer Spende von 99 Cent tun.

Bereits implementierte Funktionen: 
• Einfache, moderne Benutzeroberfläche 
• Dateien auf Ihrem Nextcloud Server hochladen 
• Dateien von Ihrem Nextcloud Server herunterladen
• Dateien und Ordner verschieben
• Dateien und Ordner umbenennen
• Manuelle Ordner-Synchronisation
• Ordner als ZIP-Dateien herunterladen
• Mehrere Dateien und Ordner auswählen
• Elemente können als Favoriten in der App markiert werden
• Ordnrergrößen in der Listenasicht anzeigen
• Statusleiste in der Listenansicht zeigt Anzahl der Elemente (ausgewählt/gesamt)
• Sortierung nach Datentyp
• Neue Ansichten Favoriten/Shares
• Dateien und Ordner auf dem Startbildschirm ablegen
• Windows Hello für die Anmeldung beim App-Start benutzen
• Experten-Modus zur Anzeige erweiterter Informationen
• Selbst-signierte SSL-Zertifikate erlauben
• Dateien mit der App teilen
• Theming (dunkel/hell/System)
• Passwort-Tresor zum Speichern von Anmeldeinformationen verwenden

Geplant für nächste Versionen: 
• Teilen Ihrer Dateien und Ordner mit anderen 
• Verwaltung von Shares 
• Synchronisieren von ausgewählten Verzeichnissen im Hintergrund 
• Sofortiger Upload für Fotos und Videos, die von Ihrem Gerät aufgenommen wurden 
• Verwalten von mehr als einem Benutzerkonto / Nextcloud Server (Multi-Account-Unterstützung)

Probleme

Bitte melden Sie alle Probleme unter https://github.com/nextcloud/windows-universal/issues

Neu bei Nextcloud?

Nextcloud ist ein privater Dateisynchronisierungs-, Dateifreigabe- und Kommunikationsserver. 
Die Serversoftware ist komplett Open Source und kann von Ihnen selbst oder von einer von Ihnen beauftragten Firma gehostet werden. So haben Sie die Kontrolle über Ihre Fotos, Ihren Kalender und Ihre Kontaktdaten, Ihre Dokumente und alles andere.

Schauen Sie sich Nextcloud unter https://nextcloud.com an";;;;;"Dies ist die Nextcloud App, mit der Sie auf alle Ihre Dateien auf Windows Mobile (... und in Kürze auch UWP) zugreifen können.

Diese App ist als uneingeschränkt Testversion verfügbar, wer aber das Projekt unterstützen möchte, kann dies mit einer Spende von 99 Cent tun.

Bereits implementierte Funktionen: 
• Einfache, moderne Benutzeroberfläche 
• Dateien auf Ihrem Nextcloud Server hochladen 
• Dateien von Ihrem Nextcloud Server herunterladen
• Dateien und Ordner verschieben
• Dateien und Ordner umbenennen
• Manuelle Ordner-Synchronisation
• Ordner als ZIP-Dateien herunterladen
• Mehrere Dateien und Ordner auswählen
• Elemente können als Favoriten in der App markiert werden
• Ordnrergrößen in der Listenasicht anzeigen
• Statusleiste in der Listenansicht zeigt Anzahl der Elemente (ausgewählt/gesamt)
• Sortierung nach Datentyp
• Neue Ansichten Favoriten/Shares
• Dateien und Ordner auf dem Startbildschirm ablegen
• Windows Hello für die Anmeldung beim App-Start benutzen
• Experten-Modus zur Anzeige erweiterter Informationen
• Selbst-signierte SSL-Zertifikate erlauben
• Dateien mit der App teilen
• Theming (dunkel/hell/System)
• Passwort-Tresor zum Speichern von Anmeldeinformationen verwenden

Geplant für nächste Versionen: 
• Teilen Ihrer Dateien und Ordner mit anderen 
• Verwaltung von Shares 
• Synchronisieren von ausgewählten Verzeichnissen im Hintergrund 
• Sofortiger Upload für Fotos und Videos, die von Ihrem Gerät aufgenommen wurden 
• Verwalten von mehr als einem Benutzerkonto / Nextcloud Server (Multi-Account-Unterstützung)

Probleme

Bitte melden Sie alle Probleme unter https://github.com/nextcloud/windows-universal/issues

Neu bei Nextcloud?

Nextcloud ist ein privater Dateisynchronisierungs-, Dateifreigabe- und Kommunikationsserver. 
Die Serversoftware ist komplett Open Source und kann von Ihnen selbst oder von einer von Ihnen beauftragten Firma gehostet werden. So haben Sie die Kontrolle über Ihre Fotos, Ihren Kalender und Ihre Kontaktdaten, Ihre Dokumente und alles andere.

Schauen Sie sich Nextcloud unter https://nextcloud.com an";;;;;;;;;;;;;;;;;;;;;;
ReleaseNotes;3;Text;"Version 1.1.1

• Error correction
• Update of the language packs";;"Version 1.1.1

• Fehlerkorrektur
• Update der Sprachpakete";;;;;"Version 1.1.1

• Fehlerkorrektur
• Update der Sprachpakete";;;;;;;;;;;;;;;;;;;;;;
Title;4;Text;Nextcloud;;Nextcloud;;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud;Nextcloud
ShortTitle;5;Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SortTitle;6;Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VoiceTitle;7;Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ShortDescription;8;Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DevStudio;9;Text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SupportContactInfo;10;URL oder E-Mail-Adresse;https://github.com/nextcloud/windows-universal/issues;;https://github.com/nextcloud/windows-universal/issues;;;;;https://github.com/nextcloud/windows-universal/issues;;;;;;;;;;;;;;;;;;;;;;
PrivacyPolicyUrl;11;URL;https://nextcloud.com/privacy/;;https://nextcloud.com/privacy/;;;;;https://nextcloud.com/privacy/;;;;;;;;;;;;;;;;;;;;;;
